id,source_text,target_text,alt_text
CLEVR_train_2023,What is the shape that is yellow?,"[""SELECT['shape']"", ""FILTER['#1', 'that is yellow']""]","[""SELECT['shapes']"", ""FILTER['#1', 'that are yellow']""]"
CLEVR_train_2024,Which colored sphere is closest to the blue cube?,"[""SELECT['sphere']"", ""SELECT['blue cube']"", ""FILTER['#1', 'closest to #2']"", ""PROJECT['color of #REF', '#3']""]","[""SELECT['sphere']"", ""SELECT['blue cube']"", ""FILTER['#1', 'closest to #2']"", ""PROJECT['color of #REF', '#3']""]"
CLEVR_train_203,What color object is to the back and right of the purple ball?,"[""SELECT['object']"", ""SELECT['the purple ball']"", ""FILTER['#1', 'to the back and right of #2']"", ""PROJECT['color of #REF', '#3']""]","[""SELECT['objects']"", ""SELECT['purple ball']"", ""FILTER['#1', 'to the back of #2']"", ""FILTER['#1', 'to the right of #3']"", ""INTERSECTION['#1', '#4', '#5']"", ""PROJECT['color of #REF', '#6']""]"
CLEVR_train_2030,What color is the cube in front of the purple sphere on the right?,"[""SELECT['cubes']"", ""SELECT['purple sphere']"", ""FILTER['#2', 'that is on the right']"", ""FILTER['#1', 'that is in front of #3']"", ""PROJECT['color of #REF', '#4']""]","[""SELECT['cube']"", ""SELECT['purple sphere']"", ""FILTER['#2', 'on the right']"", ""FILTER['#1', 'in front of #3']"", ""PROJECT['color of #REF', '#4']""]"
CLEVR_train_2033,What number of small objects are blue?,"[""SELECT['small objects']"", ""FILTER['#1', 'that are blue']"", ""AGGREGATE['count', '#2']""]","[""SELECT['objects']"", ""FILTER['#1', 'that are blue']"", ""FILTER['#2', 'that are small']"", ""AGGREGATE['count', '#3']""]"
CLEVR_train_2034,What color ball is partially hidden by the silver cylinder?,"[""SELECT['balls']"", ""SELECT['the silver cylinder']"", ""FILTER['#1', 'which is partially hidden by #2']"", ""PROJECT['the color of #REF', '#3']""]","[""SELECT['balls']"", ""SELECT['cylinders']"", ""FILTER['#2', 'that is silver']"", ""FILTER['#1', 'partially hidden by #3']"", ""PROJECT['color of #REF', '#4']""]"
CLEVR_train_2035,Are there more balls or cylinders?,"[""SELECT['balls']"", ""AGGREGATE['count', '#1']"", ""SELECT['cylinders']"", ""AGGREGATE['count', '#3']"", ""BOOLEAN['#2', 'higher than #4']""]","[""SELECT['balls']"", ""AGGREGATE['count', '#1']"", ""SELECT['cylinders']"", ""AGGREGATE['count', '#3']"", ""COMPARISON['max', '#2', '#4']""]"
CLEVR_train_2036,Is there any object the same material as the large brown cylinder?,"[""SELECT['objects']"", ""SELECT['large cylinder']"", ""FILTER['#2', 'that is brown']"", ""PROJECT['material of #REF', '#1']"", ""PROJECT['material of #REF', '#3']"", ""COMPARATIVE['#1', '#4', 'is the same as #5']"", ""BOOLEAN['#6', 'is there any #REF']""]","[""SELECT['objects']"", ""SELECT['large cylinder']"", ""FILTER['#2', 'that is brown']"", ""PROJECT['material of #REF', '#1']"", ""PROJECT['material of #REF', '#3']"", ""COMPARATIVE['#1', '#4', 'is the same as #5']"", ""BOOLEAN['#6', 'if there are any #REF']""]"
CLEVR_train_2037,Are the large matte ball and the cylinder the same color?,"[""SELECT['the large matte ball']"", ""SELECT['the cylinder']"", ""PROJECT['the color of #REF', '#1']"", ""PROJECT['the color of #REF', '#2']"", ""BOOLEAN['#3', 'the same as #4']""]","[""SELECT['the large matte ball']"", ""SELECT['the cylinder']"", ""PROJECT['color of #REF', '#1']"", ""PROJECT['color of #REF', '#2']"", ""BOOLEAN['#3', 'and #4 are the same']""]"
CLEVR_train_2038,What is the color of the ball in front of the blue ball?,"[""SELECT['the blue ball']"", ""SELECT['balls']"", ""FILTER['#2', 'that are in front of #1']"", ""PROJECT['the color of #REF', '#3']""]","[""SELECT['the blue ball']"", ""SELECT['balls']"", ""FILTER['#2', 'that are in front of #1']"", ""PROJECT['the color of #REF', '#3']""]"
CLEVR_train_2039,What shape is the furthest back in the photo?,"[""SELECT['objects']"", ""FILTER['#1', 'furthest back in the photo']"", ""PROJECT['shape of #REF', '#2']""]","[""SELECT['objects']"", ""FILTER['#1', 'that is furthest back']"", ""PROJECT['shape of #REF', '#2']""]"
CLEVR_train_2042,What is the gray object directly behind the turquoise matte sphere?,"[""SELECT['gray object']"", ""SELECT['turquoise sphere']"", ""FILTER['#2', 'that is matte']"", ""FILTER['#1', 'directly behind #3']""]","[""SELECT['gray object']"", ""SELECT['turquoise matte sphere']"", ""FILTER['#1', 'directly behind #2']""]"
CLEVR_train_2044,How many spheres are there in the photo?,"[""SELECT['spheres']"", ""AGGREGATE['count', '#1']""]","[""SELECT['spheres']"", ""FILTER['#1', 'in the photo']"", ""AGGREGATE['count', '#2']""]"
CLEVR_train_2046,are there more blue objects than green objects?,"[""SELECT['objects']"", ""FILTER['#1', 'that are blue']"", ""FILTER['#1', 'that are green']"", ""AGGREGATE['count', '#2']"", ""AGGREGATE['count', '#3']"", ""BOOLEAN['#4', 'is more than #5']""]","[""SELECT['objects']"", ""FILTER['#1', 'that are blue']"", ""FILTER['#1', 'that are green']"", ""AGGREGATE['count', '#2']"", ""AGGREGATE['count', '#3']"", ""BOOLEAN['#4', 'is more than #5']""]"
CLEVR_train_2047,What shape object is farthest from the others?,"[""SELECT['objects']"", ""FILTER['#1', 'that are farthest from the other objects']"", ""PROJECT['the shape of #REF', '#2']""]","[""SELECT['objects']"", ""FILTER['#1', 'that is farthest from the others']"", ""PROJECT['shape of #REF', '#2']""]"
CLEVR_train_2048,Are any balls green?,"[""SELECT['balls']"", ""FILTER['#1', 'that are green']"", ""AGGREGATE['count', '#2']"", ""BOOLEAN['#3', 'is at least one']""]","[""SELECT['balls']"", ""FILTER['#1', 'that are green']"", ""BOOLEAN['#2', 'if there are #REF']""]"
CLEVR_train_2054,How many purple objects are there,"[""SELECT['objects']"", ""FILTER['#1', 'that are purple']"", ""AGGREGATE['count', '#2']""]","[""SELECT['the purple objects']"", ""AGGREGATE['count', '#1']""]"
CLEVR_train_2057,Are both of the purple rubber objects cubes?,"[""SELECT['objects']"", ""FILTER['#1', 'that are rubber']"", ""FILTER['#2', 'that are purple']"", ""FILTER['#3', 'that are cube']"", ""AGGREGATE['count', '#4']"", ""BOOLEAN['#5', 'equal to two']""]","[""SELECT['purple rubber objects']"", ""FILTER['#1', 'that are cubes']"", ""AGGREGATE['count', '#2']"", ""BOOLEAN['#3', 'is equal to two']""]"
CLEVR_train_2058,Are there more large matte objects than small metal objects?,"[""SELECT['objects']"", ""FILTER['#1', 'that are large']"", ""FILTER['#2', 'that are matte']"", ""FILTER['#1', 'that are small']"", ""FILTER['#4', 'that are metal']"", ""AGGREGATE['count', '#3']"", ""AGGREGATE['count', '#5']"", ""BOOLEAN['#6', 'more than #7']""]","[""SELECT['large objects']"", ""FILTER['#1', 'that are matte']"", ""AGGREGATE['count', '#2']"", ""SELECT['small objects']"", ""FILTER['#4', 'that are metal']"", ""AGGREGATE['count', '#5']"", ""BOOLEAN['#3', 'higher than #6']""]"
CLEVR_train_2059,What is the same color of the two large square objects?,"[""SELECT['large square objects']"", ""PROJECT['color of #REF', '#1']""]","[""SELECT['objects']"", ""FILTER['#1', 'that are large']"", ""FILTER['#2', 'that are square']"", ""PROJECT['the color of #REF', '#3']""]"
CLEVR_train_2060,How many objects are either cubes or small metal objects?,"[""SELECT['objects']"", ""FILTER['#1', 'that are cube']"", ""AGGREGATE['count', '#2']"", ""FILTER['#1', 'that are small']"", ""FILTER['#4', 'that are metal']"", ""AGGREGATE['count', '#5']"", ""ARITHMETIC['sum', '#3', '#6']""]","[""SELECT['objects']"", ""FILTER['#1', 'that are cubes']"", ""FILTER['#1', 'that are small']"", ""FILTER['#3', 'that are metal']"", ""AGGREGATE['count', '#2']"", ""AGGREGATE['count', '#4']"", ""ARITHMETIC['sum', '#5', '#6']""]"
CLEVR_train_2061,Which shape is different from all the rest?,"[""SELECT['shapes']"", ""PROJECT['shape', '#1']"", ""GROUP['count', '#1', '#2']"", ""COMPARATIVE['#1', '#3', 'is one']""]","[""SELECT['objects']"", ""PROJECT['the shapes of #REF', '#1']"", ""GROUP['count', '#1', '#2']"", ""COMPARATIVE['#2', '#3', 'is one']""]"
CLEVR_train_2063,How many balls are of the same size and made of the same material?,"[""SELECT['balls']"", ""PROJECT['sizes of #REF', '#1']"", ""PROJECT['materials that #REF are made of', '#1']"", ""COMPARATIVE['#1', '#2', 'are the same']"", ""COMPARATIVE['#1', '#3', 'are the same']"", ""INTERSECTION['#1', '#4', '#5']"", ""AGGREGATE['count', '#6']""]","[""SELECT['balls']"", ""AGGREGATE['count', '#1']""]"
CLEVR_train_2064,What shape occurs the most?,"[""SELECT['shapes']"", ""FILTER['#1', 'which occurs the most']""]","[""SELECT['shapes']"", ""FILTER['#1', 'that occur the most']""]"
CLEVR_train_2065,What color object is partially hidden by the green cube?,"[""SELECT['the green cube']"", ""SELECT['objects']"", ""FILTER['#2', 'that are partially hidden by #1']"", ""PROJECT['the color of #REF', '#3']""]","[""SELECT['object']"", ""SELECT['green cube']"", ""FILTER['#1', 'partially hidden by #2']"", ""PROJECT['color of #REF', '#3']""]"
CLEVR_train_2067,How many metallic cubes are pictured?,"[""SELECT['metallic cubes']"", ""AGGREGATE['count', '#1']""]","[""SELECT['cubes pictured']"", ""FILTER['#1', 'that are metallic']"", ""AGGREGATE['count', '#2']""]"
